"artist","song","explicit","year","popularity","speechiness","tempo","genre"
"Britney Spears","Oops!...I Did It Again",FALSE,2000,77,0.0437,95.053,"pop"
"blink-182","All The Small Things",FALSE,1999,79,0.0488,148.726,"rock, pop"
"Faith Hill","Breathe",FALSE,1999,66,0.029,136.859,"pop, country"
"Bon Jovi","It's My Life",FALSE,2000,78,0.0466,119.992,"rock, metal"
"*NSYNC","Bye Bye Bye",FALSE,2000,65,0.0516,172.656,"pop"
"Sisqo","Thong Song",TRUE,1999,69,0.0654,121.549,"hip hop, pop, R&B"
"Eminem","The Real Slim Shady",TRUE,2000,86,0.0572,104.504,"hip hop"
"Robbie Williams","Rock DJ",FALSE,2000,68,0.0322,103.035,"pop, rock"
"Destiny's Child","Say My Name",FALSE,1999,75,0.102,138.009,"pop, R&B"
"Modjo","Lady - Hear Me Tonight",FALSE,2001,77,0.0379,126.041,"Dance/Electronic"
"Gigi D'Agostino","L'Amour Toujours",FALSE,2011,1,0.0292,139.066,"pop"
"Eiffel 65","Move Your Body - Gabry Ponte Original Radio Edit",FALSE,1999,56,0.0287,129.962,"pop"
"Bomfunk MC's","Freestyler",FALSE,2000,55,0.0989,163.826,"pop"
"Sting","Desert Rose",FALSE,1999,62,0.0304,111.989,"rock, pop"
"Melanie C","Never Be The Same Again",FALSE,1999,61,0.0478,160.067,"pop, Dance/Electronic"
"Aaliyah","Try Again",FALSE,2002,53,0.29,93.02,"hip hop, pop, R&B"
"Anastacia","I'm Outta Love - Radio Edit",FALSE,1999,64,0.056,119.41,"pop"
"Alice Deejay","Better Off Alone",FALSE,2000,73,0.0552,136.953,"pop"
"Gigi D'Agostino","The Riddle",FALSE,1999,64,0.0369,127.002,"pop"
"Dr. Dre","The Next Episode",TRUE,1999,82,0.27,95.295,"hip hop"
"Linkin Park","In the End",FALSE,2000,83,0.0584,105.143,"rock, metal"
"Tom Jones","Sexbomb",FALSE,1999,65,0.0446,122.979,"rock, Folk/Acoustic, easy listening"
"Sonique","It Feels So Good",FALSE,2000,62,0.0304,135.012,"pop"
"M.O.P.","Cold as Ice",TRUE,2000,54,0.143,85.565,"hip hop"
"Melanie C","I Turn To You",FALSE,1999,54,0.0327,135.205,"pop, Dance/Electronic"
"Limp Bizkit","Take A Look Around",FALSE,2000,72,0.046,101.968,"metal"
"Darude","Sandstorm",FALSE,2001,69,0.0465,136.065,"pop, Dance/Electronic"
"Da Brat","What'chu Like (feat. Tyrese)",TRUE,2000,53,0.24,99.974,"hip hop, pop, R&B"
"Moloko","The Time Is Now",FALSE,2000,54,0.165,127.962,"pop, Dance/Electronic"
"Chicane","Don't Give Up",FALSE,2016,47,0.0419,132.017,"Dance/Electronic"
"DMX","Party Up",TRUE,1999,71,0.347,201.936,"hip hop, pop"
"Debelah Morgan","Dance with Me",FALSE,2000,49,0.0373,115.005,"pop, R&B"
"Madonna","Music",FALSE,2000,58,0.0663,119.854,"pop"
"Ruff Endz","No More",FALSE,2000,52,0.0858,97.004,"R&B"
"Britney Spears","Born to Make You Happy",FALSE,1999,58,0.0454,84.11,"pop"
"Montell Jordan","Get It On Tonite",FALSE,1999,59,0.077,99.008,"hip hop, pop, R&B"
"Kylie Minogue","Spinning Around",FALSE,2000,55,0.0548,120.043,"pop, Dance/Electronic"
"JAY-Z","Big Pimpin'",TRUE,1999,69,0.14,138.083,"hip hop"
"LeAnn Rimes","I Need You",FALSE,2001,61,0.0367,144.705,"pop, country"
"Avant","Separated",FALSE,2000,55,0.0276,108.241,"pop, R&B"
"Enrique Iglesias","Be With You",FALSE,1999,54,0.0329,121.996,"pop, latin"
"Toni Braxton","He Wasn't Man Enough",FALSE,2000,66,0.0411,88.009,"pop, R&B"
"Bow Wow","Bounce With Me (feat. Xscape) - Edited Album Version",FALSE,2000,36,0.168,72.016,"hip hop, pop, R&B"
"Dr. Dre","Forgot About Dre",TRUE,1999,79,0.0774,133.974,"hip hop"
"Missy Elliott","Hot Boyz",TRUE,1998,49,0.291,81.125,"hip hop, pop, R&B"
"Backstreet Boys","Show Me the Meaning of Being Lonely",FALSE,1999,68,0.0252,167.998,"pop"
"Samantha Mumba","Gotta Tell You",FALSE,2018,43,0.0279,109.981,"pop"
"Mýa","Case Of The Ex (Whatcha Gonna Do)",FALSE,2000,59,0.0405,98,"pop, R&B"
"Mary Mary","Shackles (Praise You)",FALSE,2000,64,0.162,100.46,"R&B"
"Next","Wifey",FALSE,2004,52,0.108,99.581,"hip hop, pop, R&B"
"Janet Jackson","Doesn't Really Matter",FALSE,2001,47,0.076,99.316,"pop, R&B"
"Ricky Martin","She Bangs - English Version",FALSE,2000,60,0.0806,143.866,"pop, latin"
"Jagged Edge","He Can't Love U",FALSE,2000,55,0.206,126.279,"hip hop, pop, R&B"
"Sisqo","Incomplete",TRUE,1999,60,0.0771,119.311,"hip hop, pop, R&B"
"JAY-Z","I Just Wanna Love U (Give It 2 Me)",TRUE,2000,59,0.24,98.631,"hip hop"
"Mariah Carey","Thank God I Found You (feat. Joe & 98°)",FALSE,1999,59,0.0331,129.297,"pop, R&B"
"Baha Men","Who Let The Dogs Out",FALSE,2000,65,0.0993,129.221,"R&B"
"Donell Jones","U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",TRUE,1999,63,0.0844,103.032,"pop, R&B"
