artist,song,explicit,year,popularity,speechiness,tempo,loudness,acousticness,valence
Stromae,Alors on danse - Radio Edit,FALSE,2010,77,0.0793,119.951,-0.276,0.00184,0.905
Usher,OMG (feat. will.i.am),FALSE,2010,73,0.0332,129.998,-0.74,0.255,0.295
Mac Miller,Donald Trump,TRUE,2011,61,0.118,162.994,-1.131,0.0184,0.493
Cali Swag District,Teach Me How to Dougie,TRUE,2011,66,0.141,85.013,-1.19,0.529,0.668
Lily Allen,Not Fair,TRUE,2009,54,0.0402,121.491,-1.203,0.107,0.67
Jax Jones,You Don't Know Me - Radio Edit,TRUE,2016,1,0.138,124.007,-1.231,0.0553,0.674
Dr. Dre,Forgot About Dre,TRUE,1999,79,0.0774,133.974,-1.299,0.0827,0.621
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,FALSE,2003,38,0.138,130.036,-1.357,0.235,0.45
A.R. Rahman,Jai Ho! (You Are My Destiny),FALSE,2009,65,0.061,136.202,-1.538,0.0295,0.811
P!nk,Try,FALSE,2012,76,0.03,103.998,-1.569,0.00656,0.476
AWOLNATION,Sail,FALSE,2011,2,0.0568,119.038,-1.702,0.173,0.8
James Blunt,You're Beautiful,TRUE,2005,75,0.0278,81.998,-1.729,0.23,0.895
Brandy,Full Moon,FALSE,2002,52,0.139,105.922,-1.73,0.0381,0.845
The Veronicas,Untouched,FALSE,2005,58,0.234,177.008,-1.802,0.281,0.441
Toni Braxton,He Wasn't Man Enough,FALSE,2000,66,0.0411,88.009,-1.916,0.00916,0.766
P!nk,Raise Your Glass,TRUE,2010,76,0.0838,122.019,-1.921,0.158,0.232
Katy Perry,California Gurls,FALSE,2012,72,0.0569,125.014,-1.925,0.0571,0.855
Trey Songz,Bottoms Up (feat. Nicki Minaj),TRUE,2010,0,0.161,74.008,-1.966,0.000939,0.506
Destiny's Child,Survivor,FALSE,2001,70,0.41,161.109,-2.027,0.0559,0.619
Twista,Sunshine (feat. Anthony Hamilton),TRUE,2004,56,0.294,98.523,-2.042,2.64E-05,0.769
Capital Cities,Safe And Sound,FALSE,2013,0,0.0309,117.952,-2.063,0.0629,0.936
David Guetta,Turn Me On (feat. Nicki Minaj),FALSE,2012,65,0.0591,127.96,-2.125,0.0334,0.759
