"artist","song","explicit","year","popularity","speechiness","tempo","loudness","acousticness","valence"
"Britney Spears","Oops!...I Did It Again",FALSE,2000,77,0.0437,95.053,-5.444,0.3,0.894
"blink-182","All The Small Things",FALSE,1999,79,0.0488,148.726,-4.918,0.0103,0.684
"Faith Hill","Breathe",FALSE,1999,66,0.029,136.859,-9.007,0.173,0.278
"Bon Jovi","It's My Life",FALSE,2000,78,0.0466,119.992,-4.063,0.0263,0.544
"*NSYNC","Bye Bye Bye",FALSE,2000,65,0.0516,172.656,-4.806,0.0408,0.879
"Sisqo","Thong Song",TRUE,1999,69,0.0654,121.549,-6.959,0.119,0.714
"Eminem","The Real Slim Shady",TRUE,2000,86,0.0572,104.504,-4.244,0.0302,0.76
"Robbie Williams","Rock DJ",FALSE,2000,68,0.0322,103.035,-4.264,0.0267,0.861
"Destiny's Child","Say My Name",FALSE,1999,75,0.102,138.009,-3.525,0.273,0.734
"Modjo","Lady - Hear Me Tonight",FALSE,2001,77,0.0379,126.041,-5.627,0.00793,0.869
"Gigi D'Agostino","L'Amour Toujours",FALSE,2011,1,0.0292,139.066,-7.932,0.0328,0.808
"Eiffel 65","Move Your Body - Gabry Ponte Original Radio Edit",FALSE,1999,56,0.0287,129.962,-9.664,0.0813,0.96
"Bomfunk MC's","Freestyler",FALSE,2000,55,0.0989,163.826,-5.798,0.0291,0.568
"Sting","Desert Rose",FALSE,1999,62,0.0304,111.989,-7.92,0.011,0.147
"Melanie C","Never Be The Same Again",FALSE,1999,61,0.0478,160.067,-5.153,0.0921,0.398
"Aaliyah","Try Again",FALSE,2002,53,0.29,93.02,-5.642,0.0807,0.731
"Anastacia","I'm Outta Love - Radio Edit",FALSE,1999,64,0.056,119.41,-5.8,0.396,0.649
"Alice Deejay","Better Off Alone",FALSE,2000,73,0.0552,136.953,-6.149,0.00181,0.782
"Gigi D'Agostino","The Riddle",FALSE,1999,64,0.0369,127.002,-6.87,0.0173,0.825
"Dr. Dre","The Next Episode",TRUE,1999,82,0.27,95.295,-2.429,0.0281,0.309
