artist,song,explicit,year,popularity,speechiness,tempo
Britney Spears,Oops!...I Did It Again,FALSE,2000,77,0.0437,95.053
blink-182,All The Small Things,FALSE,1999,79,0.0488,148.726
Faith Hill,Breathe,FALSE,1999,66,0.029,136.859
Bon Jovi,It's My Life,FALSE,2000,78,0.0466,119.992
*NSYNC,Bye Bye Bye,FALSE,2000,65,0.0516,172.656
Sisqo,Thong Song,TRUE,1999,69,0.0654,121.549
Eminem,The Real Slim Shady,TRUE,2000,86,0.0572,104.504
Robbie Williams,Rock DJ,FALSE,2000,68,0.0322,103.035
Destiny's Child,Say My Name,FALSE,1999,75,0.102,138.009
Modjo,Lady - Hear Me Tonight,FALSE,2001,77,0.0379,126.041
Gigi D'Agostino,L'Amour Toujours,FALSE,2011,1,0.0292,139.066
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,FALSE,1999,56,0.0287,129.962
Bomfunk MC's,Freestyler,FALSE,2000,55,0.0989,163.826
Sting,Desert Rose,FALSE,1999,62,0.0304,111.989
Melanie C,Never Be The Same Again,FALSE,1999,61,0.0478,160.067
Aaliyah,Try Again,FALSE,2002,53,0.29,93.02
Anastacia,I'm Outta Love - Radio Edit,FALSE,1999,64,0.056,119.41
Alice Deejay,Better Off Alone,FALSE,2000,73,0.0552,136.953
Gigi D'Agostino,The Riddle,FALSE,1999,64,0.0369,127.002
Dr. Dre,The Next Episode,TRUE,1999,82,0.27,95.295
Linkin Park,In the End,FALSE,2000,83,0.0584,105.143
Tom Jones,Sexbomb,FALSE,1999,65,0.0446,122.979
Sonique,It Feels So Good,FALSE,2000,62,0.0304,135.012
M.O.P.,Cold as Ice,TRUE,2000,54,0.143,85.565
Melanie C,I Turn To You,FALSE,1999,54,0.0327,135.205
Limp Bizkit,Take A Look Around,FALSE,2000,72,0.046,101.968
Darude,Sandstorm,FALSE,2001,69,0.0465,136.065
Da Brat,What'chu Like (feat. Tyrese),TRUE,2000,53,0.24,99.974
Moloko,The Time Is Now,FALSE,2000,54,0.165,127.962
Chicane,Don't Give Up,FALSE,2016,47,0.0419,132.017
DMX,Party Up,TRUE,1999,71,0.347,201.936
Debelah Morgan,Dance with Me,FALSE,2000,49,0.0373,115.005
Madonna,Music,FALSE,2000,58,0.0663,119.854
Ruff Endz,No More,FALSE,2000,52,0.0858,97.004
Britney Spears,Born to Make You Happy,FALSE,1999,58,0.0454,84.11
Montell Jordan,Get It On Tonite,FALSE,1999,59,0.077,99.008
Kylie Minogue,Spinning Around,FALSE,2000,55,0.0548,120.043
JAY-Z,Big Pimpin',TRUE,1999,69,0.14,138.083
LeAnn Rimes,I Need You,FALSE,2001,61,0.0367,144.705
Avant,Separated,FALSE,2000,55,0.0276,108.241
Enrique Iglesias,Be With You,FALSE,1999,54,0.0329,121.996
Toni Braxton,He Wasn't Man Enough,FALSE,2000,66,0.0411,88.009
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,FALSE,2000,36,0.168,72.016
Dr. Dre,Forgot About Dre,TRUE,1999,79,0.0774,133.974
Missy Elliott,Hot Boyz,TRUE,1998,49,0.291,81.125
Backstreet Boys,Show Me the Meaning of Being Lonely,FALSE,1999,68,0.0252,167.998
Samantha Mumba,Gotta Tell You,FALSE,2018,43,0.0279,109.981
Mýa,Case Of The Ex (Whatcha Gonna Do),FALSE,2000,59,0.0405,98
Mary Mary,Shackles (Praise You),FALSE,2000,64,0.162,100.46
Next,Wifey,FALSE,2004,52,0.108,99.581
Janet Jackson,Doesn't Really Matter,FALSE,2001,47,0.076,99.316
Ricky Martin,She Bangs - English Version,FALSE,2000,60,0.0806,143.866
Jagged Edge,He Can't Love U,FALSE,2000,55,0.206,126.279
Sisqo,Incomplete,TRUE,1999,60,0.0771,119.311
JAY-Z,I Just Wanna Love U (Give It 2 Me),TRUE,2000,59,0.24,98.631
Mariah Carey,Thank God I Found You (feat. Joe & 98°),FALSE,1999,59,0.0331,129.297
Baha Men,Who Let The Dogs Out,FALSE,2000,65,0.0993,129.221
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",TRUE,1999,63,0.0844,103.032
LeAnn Rimes,Can't Fight The Moonlight,FALSE,2001,65,0.0497,97.865
Oasis,Go Let It Out,FALSE,2000,0,0.0333,84.192
DJ Ötzi,Hey Baby (Radio Mix),FALSE,2010,58,0.046,135.099
P!nk,Most Girls,FALSE,2000,52,0.0311,97.922
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),FALSE,2011,0,0.0315,117.338
Craig David,Fill Me In,FALSE,2000,60,0.0365,132.493
Christina Aguilera,I Turn to You,FALSE,1999,61,0.0376,127.177
Madonna,American Pie,FALSE,2000,58,0.036,124.036
Red Hot Chili Peppers,Otherside,FALSE,1999,78,0.0574,123.229
Sammie,I Like It,FALSE,2000,55,0.0617,129.963
Craig David,7 Days,FALSE,2000,70,0.0487,83.014
Santana,Maria Maria (feat. The Product G&B),FALSE,1999,66,0.126,97.911
Kandi,Don't Think I'm Not,FALSE,2000,55,0.0445,134.007
P!nk,There You Go,FALSE,2000,55,0.0917,107.908
Vengaboys,Shalala Lala,FALSE,2000,58,0.0328,124.017
Ronan Keating,Life Is A Rollercoaster,FALSE,2000,59,0.0302,118.981
Madison Avenue,Don't Call Me Baby,FALSE,1999,56,0.0311,124.999
Destiny's Child,"Jumpin', Jumpin'",FALSE,1999,70,0.0567,88.997
Céline Dion,That's the Way It Is,FALSE,1999,64,0.0434,93.04
3 Doors Down,Kryptonite,FALSE,2000,78,0.0286,99.009
Carl Thomas,I Wish,FALSE,2000,52,0.0337,89.824
Mystikal,Shake Ya Ass,TRUE,2000,57,0.32,98.054
Fuel,Hemorrhage (In My Hands),FALSE,2000,49,0.0404,152.034
Donell Jones,Where I Wanna Be,FALSE,1999,57,0.0298,102.053
Savage Garden,Crash and Burn,FALSE,1999,54,0.028,102.03
Westlife,My Love,FALSE,2000,68,0.0255,144.142
All Saints,Pure Shores,FALSE,2000,62,0.0242,100.618
Destiny's Child,"Independent Women, Pt. 1",FALSE,2001,65,0.206,97.954
*NSYNC,It's Gonna Be Me,FALSE,2000,60,0.0801,165.09
Erykah Badu,Bag Lady,FALSE,2000,54,0.0841,151.181
Marc Anthony,You Sang To Me,FALSE,1999,56,0.0296,165.98
